Name;Vorname;Geburtsjahr;Beruf;Partei_KurzBez;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Wiedergewählt
Dehm-Desoi;Jörg-Diether Wilhelm;1950;Liederautor / Medienunternehmer;DIE LINKE;NI;;;X
Deligöz;Ekin;1971;MdB / Dipl.-Verwaltungswissenschaftlerin;GRÜNE;BY;;;X
Diaby;Karamba;1961;MdB / Dipl.-Chemiker;SPD;ST;;;X
Dilcher;Esther;1965;Rechtsanwältin / Notarin;SPD;HE;167;Waldeck;
Dittmar;Sabine;1964;MdB;SPD;BY;;;X
Djir-Sarai;Bijan;1976;hauptamtl. Dezernent;FDP;NW;;;
Dobrindt;Alexander;1970;MdB;CSU;BY;226;Weilheim;X
Domscheit-Berg;Anke;1968;Publizistin;DIE LINKE;BB;;;
Donth;Michael;1967;MdB;CDU;BW;289;Reutlingen;X
Dörner;Katja;1976;MdB;GRÜNE;NW;;;X
Dött;Marie-Luise;1953;Kauffrau im Einzelhandel;CDU;NW;;;X
Droese;Siegbert;1969;Hotelkaufmann;AfD;SN;;;
Dröge;Katharina;1984;Dipl.-Volkswirtin;GRÜNE;NW;;;X
Dürr;Christian;1977;MdL / Dipl.-Ökonom;FDP;NI;;;
Durz;Hansjörg;1971;MdB;CSU;BY;253;Augsburg-Land;X
Ebbing;Hartmut Heinrich Wilhelm;1956;Wirtschaftsprüfer / Steuerberater;FDP;BE;;;
Ebner;Harald;1964;MdB / Dipl.-Agraringenieur;GRÜNE;BW;;;X
Ehrhorn;Thomas;1959;Pilot;AfD;NI;;;
Elsner von Gronow;Gerhard Helmuth Berengar;1978;Vertriebsleiter;AfD;NW;;;
Erndl;Thomas;1974;Dipl.-Ing. Elektrotechnik (FH);CSU;BY;227;Deggendorf;
Ernst;Klaus Friedrich;1954;MdB / Gewerkschaftssekretär;DIE LINKE;BY;;;X
Esdar;Wiebke;1984;wiss. Mitarbeiterin;SPD;NW;132;Bielefeld – Gütersloh II;
Esken;Saskia;1961;MdB / Informatikerin;SPD;BW;;;X
Espendiller;Michael;1989;prom. Mathematiker;AfD;NW;;;
Faber;Marcus;1984;Angestellter;FDP;ST;;;
Fahimi;Yasmin;1967;Staatssekretärin / Dipl.-Chemikerin;SPD;NI;42;Stadt Hannover II;
Färber;Hermann;1963;MdB;CDU;BW;263;Göppingen;X
Fechner;Johannes;1972;MdB;SPD;BW;;;X
Feiler;Uwe Wolfgang Werner;1965;Dipl.-Finanzwirt;CDU;BB;58;Oberhavel – Havelland II;X
Felgentreu;Fritz;1968;MdB / klassischer Philologe / Lehrer;SPD;BE;82;Berlin-Neukölln;X
Felser;Peter;1969;Unternehmer;AfD;BY;;;
Ferlemann;Enak;1963;parl. Staatssekretär;CDU;NI;29;Cuxhaven – Stade II;X
Ferschl;Susanne;1973;Betriebsratsvorsitzende;DIE LINKE;BY;;;
Fischer;Axel;1966;MdB;CDU;BW;272;Karlsruhe-Land;X
Flachsbarth;Maria Franziska;1963;MdB / Tierärztin;CDU;NI;;;X
Föst;Daniel;1976;selbständig;FDP;BY;;;
Franke;Edgar Konrad Hartmut;1960;MdB;SPD;HE;170;Schwalm-Eder;X
Freese;Ulrich Ronald;1951;MdB;SPD;BB;;;X
Frei;Thorsten;1973;MdB;CDU;BW;286;Schwarzwald-Baar;X
Freihold;Brigitte;1955;Lehrerin;DIE LINKE;RP;;;
Freitag;Dagmar;1953;Lehrerin a. D.;SPD;NW;150;Märkischer Kreis II;X
Fricke;Otto;1965;Rechtsanwalt;FDP;NW;;;
Friedhoff;Dietmar;1966;Dipl.-Ingenieur / Vertriebstrainer;AfD;NI;;;
Friedrich;Hans-Peter;1957;MdB;CSU;BY;239;Hof;X
Friesen;Anton;1985;wiss. Mitarbeiter;AfD;TH;;;
Frieser;Michael;1964;MdB / Rechtsanwalt;CSU;BY;245;Nürnberg-Süd;X
Frohnmaier;Markus;1991;Pressesprecher;AfD;BW;;;
Frömming;Götz;1968;Studiendirektor;AfD;BE;;;
Fuchtel;Hans-Joachim;1952;MdB / parl. Staatssekretär;CDU;BW;280;Calw;X
Gabelmann;Sylvia;1958;Apothekerin;DIE LINKE;NW;;;
Gabriel;Sigmar Hartmut;1959;MdB / Bundesminister;SPD;NI;49;Salzgitter – Wolfenbüttel;X
Gädechens;Ingo;1960;Berufssoldat;CDU;SH;9;Ostholstein – Stormarn-Nord;X
Gastel;Matthias;1970;MdB;GRÜNE;BW;;;X
Gauland;Eberhardt Alexander;1941;MdL;AfD;BB;;;
Gebhart;Thomas;1971;MdB;CDU;RP;211;Südpfalz;X
Gehring;Kai Boris;1977;Dipl.-Sozialwissenschaftler;GRÜNE;NW;;;X
Gehrke;Axel;1942;Arzt;AfD;SH;;;
Gelbhaar;Stefan;1976;MdAB / Rechtsanwalt;GRÜNE;BE;;;
Gerdes;Michael;1960;MdB / Elektrohauer;SPD;NW;125;Bottrop – Recklinghausen III;X
Gerig;Alois;1956;MdB / Landwirtschaftsmeister;CDU;BW;276;Odenwald – Tauber;X
Gerster;Martin;1971;MdB;SPD;BW;;;X
Gienger;Eberhard;1951;MdB / Kaufmann;CDU;BW;266;Neckar-Zaber;X
Glaser;Albrecht Heinz Erhard;1942;Stadtkämmerer a. D.;AfD;HE;;;
Glöckner;Angelika;1962;MdB;SPD;RP;;;X
Gminder;Franziska;1945;Dipl.-Kauffrau;AfD;BW;;;
Gnodtke;Eckhard;1958;Sozialdezernent / Volljurist;CDU;ST;66;Altmark;
Gohlke;Nicole Stephanie;1975;MdB / Kommunikationswissenschaftlerin;DIE LINKE;BY;;;X
Göring-Eckardt;Katrin;1966;MdB;GRÜNE;TH;;;X
Gottberg;Wilhelm;1940;Beamter i. R.;AfD;NI;;;
Gottschalk;Kay;1965;Angestellter;AfD;NW;;;
Gremmels;Timon;1976;MdL;SPD;HE;168;Kassel;
Griese;Kerstin;1966;MdB;SPD;NW;;;X
Groden-Kranich;Ursula;1965;MdB / Bankkauffrau;CDU;RP;205;Mainz;X
Gröhe;Hermann;1961;MdB / Bundesminister / Jurist;CDU;NW;108;Neuss I;X
Gröhler;Klaus-Dieter;1966;MdB / Jurist;CDU;BE;80;Berlin-Charlottenburg-Wilmersdorf;X
Groß;Michael Peter;1956;Geschäftsbereichsleiter;SPD;NW;122;Recklinghausen II;X
Grosse-Brömer;Michael;1960;MdB / Rechtsanwalt;CDU;NI;36;Harburg;X
Grotelüschen;Astrid Katharina Josefine;1964;MdB / Dipl.-Ökotrophologin;CDU;NI;28;Delmenhorst – Wesermarsch – Oldenburg-Land;X
Grötsch;Uli;1975;MdB / Polizeibeamter;SPD;BY;;;X
Grübel;Markus;1959;MdB / parl. Staatssekretär;CDU;BW;261;Esslingen;X
Grund;Manfred;1955;Dipl.-Elektroingenieur;CDU;TH;189;Eichsfeld – Nordhausen – Kyffhäuserkreis;X
Grundl;Erhard;1963;Vertriebsmanager;GRÜNE;BY;;;
Grundmann;Oliver Klaus;1971;MdB / Rechtsanwalt;CDU;NI;30;Stade I – Rotenburg II;X
Grütters;Monika;1962;Staatsministerin für Kultur und Medien;CDU;BE;;;X
Güntzler;Fritz;1966;MdB;CDU;NI;;;X
Gutting;Olav;1970;MdB / Rechtsanwalt;CDU;BW;278;Bruchsal – Schwetzingen;X
Gysi;Gregor;1948;Rechtsanwalt;DIE LINKE;BE;84;Berlin-Treptow-Köpenick;X
Haase;Christian;1966;Dipl.-Verwaltungswirt;CDU;NW;136;Höxter – Lippe II;X
Hacker;Thomas;1967;Dipl.-Kaufmann;FDP;BY;;;
Hagedorn;Bettina;1955;MdB / Goldschmiedin;SPD;SH;;;X
Hagl-Kehl;Rita;1970;MdB / Studienrätin;SPD;BY;;;X
Hahn;André;1963;MdB;DIE LINKE;SN;;;X
Hahn;Florian Peter;1974;MdB;CSU;BY;221;München-Land;X
Hajduk;Anja Margarete Helene;1963;Dipl.-Psychologin;GRÜNE;HH;;;X
Hakverdi;Metin;1969;Volljurist;SPD;HH;23;Hamburg-Bergedorf – Harburg;X
Hampel;Armin-Paulus;1957;Journalist;AfD;NI;;;
Hänsel;Heike;1966;MdB;DIE LINKE;BW;;;X
Harbarth;Stephan;1971;MdB / Rechtsanwalt;CDU;BW;277;Rhein-Neckar;X
Harder-Kühnel;Mariana Iris;1974;Rechtsanwältin;AfD;HE;;;
Hardt;Jürgen;1963;MdB / Dipl.-Volkswirt;CDU;NW;103;Solingen – Remscheid – Wuppertal II;X
Hartmann;Sebastian;1977;MdB;SPD;NW;;;X
Hartmann;Verena;1974;Dipl.-Kommunikationswirtin;AfD;SN;;;
Hartwig;Roland;1954;Rechtsanwalt;AfD;NW;;;
Haßelmann;Britta;1961;Dipl.-Sozialarbeiterin;GRÜNE;NW;;;X
Hauer;Matthias;1977;MdB / Rechtsanwalt;CDU;NW;120;Essen III;X
Haug;Jochen;1973;Rechtsanwalt;AfD;NW;;;
Hauptmann;Mark;1984;MdB / Politikwissenschaftler;CDU;TH;196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;X
Hebner;Martin;1959;IT-Unternehmensberater;AfD;BY;;;
Heidenblut;Dirk;1961;Geschäftsführer;SPD;NW;119;Essen II;X
Heider;Matthias;1966;Rechtsanwalt;CDU;NW;149;Olpe – Märkischer Kreis I;X
Heil;Hubertus;1972;MdB / Politikwissenschaftler;SPD;NI;45;Gifhorn – Peine;X
Heil;Mechthild;1961;MdB / Dipl.-Ing. Architektur;CDU;RP;198;Ahrweiler;X
Heilmann;Thomas;1964;Volljurist;CDU;BE;79;Berlin-Steglitz-Zehlendorf;
Heinrich;Frank;1964;Theologe;CDU;SN;162;Chemnitz;X
Heinrich;Gabriela;1963;MdB / Redakteurin;SPD;BY;;;X
Held;Marcus;1977;MdB / Volljurist;SPD;RP;;;X
Helfrich;Mark;1978;MdB / Betriebswirt;CDU;SH;3;Steinburg – Dithmarschen Süd;X
Helling-Plahr;Katrin;1986;Rechtsanwältin;FDP;NW;;;
Hellmich;Wolfgang;1958;MdB;SPD;NW;;;X
Hemmelgarn;Udo Theodor;1959;selbst. Kaufmann;AfD;NW;;;
Hendricks;Barbara;1952;Bundesministerin;SPD;NW;;;X
Henke;Rudolf;1954;MdB / Arzt;CDU;NW;87;Aachen I;X
Hennrich;Michael;1965;MdB;CDU;BW;262;Nürtingen;X
Henrichmann;Marc;1976;Rechtsanwalt;CDU;NW;127;Coesfeld – Steinfurt II;
Herbrand;Markus;1971;Steuerberater;FDP;NW;;;
Herbst;Torsten;1973;Dipl.-Kaufmann (FH);FDP;SN;;;
Herdt;Waldemar;1962;Unternehmer;AfD;NI;;;
Herrmann;Klaus Lars;1977;Polizeibeamter;AfD;SN;;;
Herzog;Gustav;1958;MdB / Chemielaborant;SPD;RP;209;Kaiserslautern;X
Hess;Martin Alexander;1971;Polizeibeamter;AfD;BW;;;
Hessel;Katja;1972;Rechtsanwältin;FDP;BY;;;
Heßenkemper;Heiko;1956;Physiker;AfD;SN;;;
Heveling;Ansgar;1972;MdB / Oberregierungsrat a. D.;CDU;NW;110;Krefeld I – Neuss II;X
Hiller-Ohm;Gabriele;1953;MdB;SPD;SH;;;X
Hilse;Karsten;1964;Beamter;AfD;SN;156;Bautzen I;
Hirte;Christian;1976;Rechtsanwalt / Fachanwalt für Steuerrecht;CDU;TH;190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;X
Hirte;Heribert;1958;Universitätsprofessor;CDU;NW;94;Köln II;X
Hitschler;Thomas;1982;MdB;SPD;RP;;;X
Höchst;Nicole;1970;Regierungsschuldirektorin;AfD;RP;;;
Hocker;Gero Clemens;1975;MdL / Dipl.-Ökonom;FDP;NI;;;
Höferlin;Manuel;1973;selbst. Unternehmer;FDP;RP;;;
Hoffmann;Alexander;1975;MdB / Oberrechtsrat;CSU;BY;249;Main-Spessart;X
Hoffmann;Bettina;1960;Dipl.-Biologin;GRÜNE;HE;;;
Hoffmann;Christoph;1957;Bürgermeister;FDP;BW;;;
Hofreiter;Anton;1970;MdB / Dipl.-Biologe;GRÜNE;BY;;;X
Högl;Eva;1969;MdB / Juristin;SPD;BE;75;Berlin-Mitte;X
Hohmann;Martin;1948;Bürgermeister a. D.;AfD;HE;;;
Höhn;Matthias;1975;MdL;DIE LINKE;ST;;;
Hollnagel;Bruno;1948;Wirtschaftswissenschaftler;AfD;SH;;;
Holm;Leif-Erik;1970;Ökonom (M. Sc.) / Journalist;AfD;MV;;;
Holmeier;Karl;1956;MdB;CSU;BY;234;Schwandorf;X
Holtz;Ottmar;1961;MdL / Dipl.-Ökonom;GRÜNE;NI;;;
Hoppenstedt;Hendrik;1972;MdB / Bürgermeister a. D.;CDU;NI;43;Hannover-Land I;X
Houben;Reinhard;1960;Unternehmer;FDP;NW;;;
Huber;Johannes;1987;Finanzbuchhalter;AfD;BY;;;
Hunko;Andrej;1963;Mediengestalter;DIE LINKE;NW;;;X
Ihnen;Ulla;1956;Staatssekretärin a. D. / Juristin;FDP;NI;;;
Irlstorfer;Erich;1970;MdB;CSU;BY;214;Freising;X
Irmer;Hans-Jürgen;1952;Oberstudienrat;CDU;HE;172;Lahn-Dill;
Jacobi;Fabian;1973;Rechtsanwalt;AfD;NW;;;
Janecek;Dieter;1976;MdB / Dipl.-Politologe;GRÜNE;BY;;;X
Jarzombek;Thomas;1973;MdB / IT-Berater;CDU;NW;106;Düsseldorf I;X
Jelpke;Ursula (Ulla);1951;Journalistin;DIE LINKE;NW;;;X
Jongen;Marc Stephan;1968;akadem. Mitarbeiter;AfD;BW;;;
Jung;Andreas;1975;MdB;CDU;BW;287;Konstanz;X
Jung;Christian;1977;Studiendirektor;FDP;BW;;;
Jung;Ingmar Ludwig;1978;Staatssekretär;CDU;HE;179;Wiesbaden;
Junge;Frank Michael;1967;Dipl.-Sportlehrer;SPD;MV;;;X
Juratovic;Josip;1959;MdB / Kfz.-Mechaniker;SPD;BW;;;X
Jurk;Thomas Edmund;1962;MdB / Funkmechaniker;SPD;SN;;;X
Kaczmarek;Oliver;1970;Oberregierungsrat;SPD;NW;144;Unna I;X
Kahrs;Johannes;1963;Angestellter;SPD;HH;18;Hamburg-Mitte;X
Kaiser;Elisabeth;1987;Pressesprecherin;SPD;TH;;;
Kamann;Uwe;1958;Elektroniker / Kaufmann;AfD;NW;;;
Kappert-Gonther;Kirsten;1966;Ärztin;GRÜNE;HB;;;
Kapschack;Ralf;1954;Journalist;SPD;NW;139;Ennepe-Ruhr-Kreis II;X
Karl;Alois;1950;MdB;CSU;BY;232;Amberg;X
Karliczek;Anja;1971;MdB / Geschäftsführerin Hotellerie;CDU;NW;128;Steinfurt III;X
Kartes;Jens Torbjörn;1979;Rechtsanwalt;CDU;RP;207;Ludwigshafen/Frankenthal;
Kassner;Karin Kerstin;1958;Dipl.-Ökonomin;DIE LINKE;MV;;;X
Katzmarek;Gabriele;1960;MdB;SPD;BW;;;X
Kauder;Volker;1949;MdB / Jurist;CDU;BW;285;Rottweil – Tuttlingen;X
Kaufmann;Stefan;1969;MdB / Rechtsanwalt;CDU;BW;258;Stuttgart I;X
Kekeritz;Uwe;1953;MdB / Dipl.-Volkswirt;GRÜNE;BY;;;X
Kelber;Ulrich;1968;MdB / Dipl.-Informatiker;SPD;NW;96;Bonn;X
Kemmer;Ronja;1989;MdB;CDU;BW;291;Ulm;X
Kemmerich;Thomas L.;1965;Unternehmer;FDP;TH;;;
Kessler;Achim Dieter;1964;Angestellter;DIE LINKE;HE;;;
Kestner;Jens;1971;Bestatter;AfD;NI;;;
Keul;Katja;1969;MdB / Rechtsanwältin;GRÜNE;NI;;;X
Keuter;Stefan;1972;Bankkaufmann;AfD;NW;;;
Kiesewetter;Roderich;1963;MdB;CDU;BW;270;Aalen – Heidenheim;X
Kießling;Michael Hannes;1973;Erster Bürgermeister;CSU;BY;224;Starnberg – Landsberg am Lech;
Kindler;Sven-Christian;1985;MdB / Betriebswirt;GRÜNE;NI;;;X
Kippels;Georg;1959;MdB / Rechtsanwalt;CDU;NW;91;Rhein-Erft-Kreis I;X
Kipping;Katja;1978;MdB / Literaturwissenschaftlerin;DIE LINKE;SN;;;X
Kiziltepe;Cansel;1975;MdB / Dipl.-Volkswirtin;SPD;BE;;;X
Klare;Arno;1952;Lehrer;SPD;NW;118;Mülheim – Essen I;X
Klein;Karsten;1977;Dipl.-Kaufmann;FDP;BY;;;
Klein;Volkmar;1960;MdB / Dipl.-Volkswirt;CDU;NW;148;Siegen-Wittgenstein;X
Klein-Schmeink;Maria;1958;Soziologin;GRÜNE;NW;;;X
Kleinwächter;Norbert;1986;Lehrer;AfD;BB;;;
Klingbeil;Lars;1978;MdB;SPD;NI;35;Rotenburg I – Heidekreis;X
Klinge;Marcel;1980;Geschäftsführer Landtagsfraktion;FDP;BW;;;
Kloke;Katharina;1987;Rechtsreferendarin;FDP;NW;;;
Kluckert;Daniela;1980;Dipl.-Volkswirtin / Ministerialreferentin;FDP;BE;;;
Knoerig;Axel;1967;MdB;CDU;NI;33;Diepholz – Nienburg I;X
Kober;Pascal;1971;Militärseelsorger;FDP;BW;;;
Koeppen;Jens;1962;MdB;CDU;BB;57;Uckermark – Barnim I;X
Kofler;Bärbel;1967;MdB;SPD;BY;;;X
Köhler;Lukas;1986;wiss. Mitarbeiter;FDP;BY;;;
Kolbe;Daniela;1980;MdB / Dipl.-Physikerin;SPD;SN;;;X
Komning;Enrico;1968;Rechtsanwalt;AfD;MV;;;
König;Jörn;1967;Dipl.-Ingenieur (MBA);AfD;NI;;;
Konrad;Carina;1982;Dipl.-Agraringenieurin (FH);FDP;RP;;;
Koob;Markus Benjamin;1977;MdB;CDU;HE;176;Hochtaunus;X
Körber;Carsten;1979;MdB / Betriebswirt;CDU;SN;165;Zwickau;X
Korkmaz;Elvan;1985;Dipl.-Verwaltungswirtin;SPD;NW;;;
Korte;Jan;1977;MdB / Politikwissenschaftler (M. A.);DIE LINKE;ST;;;X
Kotré;Steffen;1971;Referent / Unternehmensberater;AfD;BB;;;
Kotting-Uhl;Sylvia;1952;MdB;GRÜNE;BW;;;X
Kraft;Rainer;1974;Dipl.-Chemiker;AfD;BY;;;
Kramme;Anette;1967;MdB / parl. Staatssekretärin;SPD;BY;;;X
Krauß;Alexander Gerd;1975;MdL / Politikwissenschaftler;CDU;SN;164;Erzgebirgskreis I;
Krellmann;Jutta;1956;Gewerkschaftssekretärin;DIE LINKE;NI;;;X
Krichbaum;Gunther;1964;MdB;CDU;BW;279;Pforzheim;X
Krings;Günter;1969;MdB / Jurist;CDU;NW;109;Mönchengladbach;X
Krischer;Oliver Michael;1969;MdB;GRÜNE;NW;;;X
Kruse;Rüdiger;1961;Geschäftsführer;CDU;HH;;;X
Kubicki;Wolfgang;1952;Rechtsanwalt / Dipl.-Volkswirt;FDP;SH;;;
Kuffer;Michael;1972;Rechtsanwalt;CSU;BY;219;München-Süd;
Kuhle;Konstantin Elias;1989;Rechtsanwalt;FDP;NI;;;
Kühn;Christian;1979;MdB;GRÜNE;BW;;;X
Kühn;Stephan;1979;MdB / Dipl.-Soziologe;GRÜNE;SN;;;X
Kühne;Roy;1967;MdB / Dipl.-Sporttherapeut / Physiotherapeut;CDU;NI;52;Goslar – Northeim – Osterode;X
Kulitz;Alexander;1981;Unternehmer;FDP;BW;;;
Künast;Renate;1955;Rechtsanwältin;GRÜNE;BE;;;X
