;Namen;name_id;id
286;Thorsten Frei;@thorsten_frei;1.1815985785082143e+18
287;Andreas Jung;;
288;Felix Schreiner;@felixschreiner;162398888.0
289;Michael Donth;;
290;Annette Widmann-Mauz;@AWidmannMauz;3351905747
291;Ronja Kemmer;@RonjaKemmer;2405039875.0
292;Josef Rief;;
293;Lothar Riebsamen;;
294;Axel Müller;;
295;Thomas Bareiß;@Thomas_Bareiss;2797812265.0
296;Josephine Loulou Ortleb;@joloulou;21618829
297;Peter Altmaier;@peteraltmaier;378693834.0
298;Nadine Schön;@NadineSchoen;41840905.0
299;Markus Alexander Uhl;@uhl_markus;1391875208
